央视频道,#genre#
CCTV1,http://60.220.147.59:808/hls/1/index.m3u8
CCTV2,http://60.220.147.59:808/hls/2/index.m3u8
CCTV3,http://60.220.147.59:808/hls/3/index.m3u8
CCTV4,http://60.220.147.59:808/hls/4/index.m3u8
CCTV5,http://60.220.147.59:808/hls/5/index.m3u8
CCTV6,http://60.220.147.59:808/hls/6/index.m3u8
CCTV7,http://60.220.147.59:808/hls/7/index.m3u8
CCTV8,http://60.220.147.59:808/hls/8/index.m3u8
CCTV9,http://60.220.147.59:808/hls/9/index.m3u8
CCTV10,http://60.220.147.59:808/hls/10/index.m3u8
CCTV11,http://60.220.147.59:808/hls/11/index.m3u8
CCTV12,http://60.220.147.59:808/hls/12/index.m3u8
CCTV13,http://60.220.147.59:808/hls/13/index.m3u8
CCTV14,http://60.220.147.59:808/hls/14/index.m3u8
CCTV15,http://60.220.147.59:808/hls/15/index.m3u8
CCTV5+,http://60.220.147.59:808/hls/55/index.m3u8
CCTV1,http://183.184.104.3:8088/hls/2/index.m3u8
CCTV2,http://183.184.104.3:8088/hls/3/index.m3u8
CCTV7,http://183.184.104.3:8088/hls/4/index.m3u8
CCTV9,http://183.184.104.3:8088/hls/5/index.m3u8
CCTV10,http://183.184.104.3:8088/hls/6/index.m3u8
CCTV12,http://183.184.104.3:8088/hls/7/index.m3u8
CCTV14,http://183.184.104.3:8088/hls/8/index.m3u8
CCTV5+,http://183.184.104.3:8088/hls/9/index.m3u8
CCTV3,http://183.184.104.3:8088/hls/50/index.m3u8
CCTV5,http://183.184.104.3:8088/hls/51/index.m3u8
CCTV6,http://183.184.104.3:8088/hls/52/index.m3u8
CCTV8,http://183.184.104.3:8088/hls/53/index.m3u8
CCTV11,http://183.184.104.3:8088/hls/54/index.m3u8
CCTV13,http://183.184.104.3:8088/hls/55/index.m3u8
CCTV4,http://183.184.104.3:8088/hls/56/index.m3u8
卫视频道,#genre#
新疆卫视,http://60.220.147.59:808/hls/52/index.m3u8
湖南卫视,http://60.220.147.59:808/hls/21/index.m3u8
东方卫视,http://60.220.147.59:808/hls/22/index.m3u8
辽宁卫视,http://60.220.147.59:808/hls/23/index.m3u8
浙江卫视,http://60.220.147.59:808/hls/24/index.m3u8
安徽卫视,http://60.220.147.59:808/hls/25/index.m3u8
江苏卫视,http://60.220.147.59:808/hls/26/index.m3u8
北京卫视,http://60.220.147.59:808/hls/27/index.m3u8
东南卫视,http://60.220.147.59:808/hls/28/index.m3u8
四川卫视,http://60.220.147.59:808/hls/30/index.m3u8
贵州卫视,http://60.220.147.59:808/hls/31/index.m3u8
广东卫视,http://60.220.147.59:808/hls/33/index.m3u8
广西卫视,http://60.220.147.59:808/hls/34/index.m3u8
深圳卫视,http://60.220.147.59:808/hls/35/index.m3u8
黑龙江卫视,http://60.220.147.59:808/hls/36/index.m3u8
湖北卫视,http://60.220.147.59:808/hls/37/index.m3u8
重庆卫视,http://60.220.147.59:808/hls/38/index.m3u8
山东卫视,http://60.220.147.59:808/hls/39/index.m3u8
河南卫视,http://60.220.147.59:808/hls/40/index.m3u8
陕西卫视,http://60.220.147.59:808/hls/41/index.m3u8
江西卫视,http://60.220.147.59:808/hls/42/index.m3u8
甘肃卫视,http://60.220.147.59:808/hls/43/index.m3u8
天津卫视,http://60.220.147.59:808/hls/44/index.m3u8
吉林卫视,http://60.220.147.59:808/hls/45/index.m3u8
青海卫视,http://60.220.147.59:808/hls/46/index.m3u8
云南卫视,http://60.220.147.59:808/hls/47/index.m3u8
内蒙古卫视,http://60.220.147.59:808/hls/48/index.m3u8
宁夏卫视,http://60.220.147.59:808/hls/49/index.m3u8
河北卫视,http://60.220.147.59:808/hls/50/index.m3u8
西藏卫视,http://60.220.147.59:808/hls/51/index.m3u8
山西卫视,http://60.220.147.59:808/hls/53/index.m3u8
东方卫视,http://183.184.104.3:8088/hls/21/index.m3u8
东方卫视,http://183.184.104.3:8088/hls/27/index.m3u8
广西卫视,http://183.184.104.3:8088/hls/28/index.m3u8
东南卫视,http://183.184.104.3:8088/hls/29/index.m3u8
河南卫视,http://183.184.104.3:8088/hls/31/index.m3u8
陕西卫视,http://183.184.104.3:8088/hls/32/index.m3u8
江西卫视,http://183.184.104.3:8088/hls/33/index.m3u8
甘肃卫视,http://183.184.104.3:8088/hls/34/index.m3u8
青海卫视,http://183.184.104.3:8088/hls/35/index.m3u8
云南卫视,http://183.184.104.3:8088/hls/36/index.m3u8
兵团卫视,http://183.184.104.3:8088/hls/38/index.m3u8
内蒙古卫视,http://183.184.104.3:8088/hls/39/index.m3u8
宁夏卫视,http://183.184.104.3:8088/hls/40/index.m3u8
河北卫视,http://183.184.104.3:8088/hls/41/index.m3u8
西藏卫视,http://183.184.104.3:8088/hls/42/index.m3u8
新疆卫视,http://183.184.104.3:8088/hls/43/index.m3u8
其他频道,#genre#
山西经济咨询,http://60.220.147.59:808/hls/16/index.m3u8
山西影视,http://60.220.147.59:808/hls/17/index.m3u8
山西公共,http://60.220.147.59:808/hls/19/index.m3u8
金鹰卡通,http://60.220.147.59:808/hls/29/index.m3u8
炫动卡通,http://60.220.147.59:808/hls/32/index.m3u8
山西科教,http://60.220.147.59:808/hls/18/index.m3u8
欢笑剧场,http://60.220.147.59:808/hls/54/index.m3u8
山西,http://183.184.104.3:8088/hls/1/index.m3u8
湖南,http://183.184.104.3:8088/hls/10/index.m3u8
浙江,http://183.184.104.3:8088/hls/11/index.m3u8
安徽,http://183.184.104.3:8088/hls/12/index.m3u8
广东,http://183.184.104.3:8088/hls/13/index.m3u8
深圳,http://183.184.104.3:8088/hls/14/index.m3u8
天津,http://183.184.104.3:8088/hls/15/index.m3u8
山东,http://183.184.104.3:8088/hls/16/index.m3u8
湖北,http://183.184.104.3:8088/hls/17/index.m3u8
黑龙江,http://183.184.104.3:8088/hls/18/index.m3u8
辽宁,http://183.184.104.3:8088/hls/19/index.m3u8
重庆,http://183.184.104.3:8088/hls/20/index.m3u8
江苏,http://183.184.104.3:8088/hls/22/index.m3u8
北京,http://183.184.104.3:8088/hls/23/index.m3u8
河北,http://183.184.104.3:8088/hls/24/index.m3u8
