CCTV1,rtp://226.0.2.153:9136
CCTV2,rtp://226.0.2.154:9144
CCTV3,rtp://226.0.2.208:9576
CCTV4,rtp://226.0.2.156:9160
CCTV5,rtp://226.0.2.209:9584
CCTV5+,rtp://226.0.2.168:9256
CCTV6,rtp://226.0.2.210:9592
CCTV7,rtp://226.0.2.159:9184
CCTV8,rtp://226.0.2.211:9600
CCTV9,rtp://226.0.2.161:9200
CCTV10,rtp://226.0.2.162:9208
CCTV11,rtp://226.0.2.28:8136
CCTV12,rtp://226.0.2.164:9224
CCTV13,rtp://226.0.2.165:9232
CCTV14,rtp://226.0.2.166:9240
CCTV15,rtp://226.0.2.32:8168
CCTV16,rtp://226.0.2.169:9264
CCTV17,rtp://226.0.2.170:9272
CHC家庭影院,rtp://226.0.2.240:9820
CHC影迷电影,rtp://226.0.2.93:8004
CHC动作电影,rtp://226.0.2.94:8012
CCTV兵器科技,rtp://226.0.2.223:9696
CCTV怀旧剧场,rtp://226.0.2.224:9704
CCTV世界地理,rtp://226.0.2.222:9688
CCTV文化精品,rtp://226.0.2.219:9664
CCTV台球,rtp://226.0.2.216:9640
CCTV高尔夫网球,rtp://226.0.2.217:9648
CCTV风云剧场,rtp://226.0.2.227:9728
CCTV风云音乐,rtp://226.0.2.220:9672
CCTV第一剧场,rtp://226.0.2.221:9680
CCTV女性时尚,rtp://226.0.2.226:9720
CCTV风云足球,rtp://226.0.2.225:9712
CCTV电视指南,rtp://226.0.2.218:9656
黑龙江卫视,rtp://226.0.2.151:9120
吉林卫视,rtp://226.0.2.199:9504
辽宁卫视,rtp://226.0.2.173:9296
内蒙古卫视,rtp://226.0.2.63:8416
北京卫视,rtp://226.0.2.177:9328
天津卫视,rtp://226.0.2.148:9096
河北卫视,rtp://226.0.2.178:9336
河南卫视,rtp://226.0.2.195:9472
山东卫视,rtp://226.0.2.149:9104
山西卫视,rtp://226.0.2.152:9128
东方卫视,rtp://226.0.2.175:9312
浙江卫视,rtp://226.0.2.144:9064
江苏卫视,rtp://226.0.2.176:9320
江西卫视,rtp://226.0.2.198:9496
东南卫视,rtp://226.0.2.188:9416
广东卫视,rtp://226.0.2.146:9080
广西卫视,rtp://226.0.2.231:9760
安徽卫视,rtp://226.0.2.145:9072
湖北卫视,rtp://226.0.2.150:9112
湖南卫视,rtp://226.0.2.143:9056
新疆卫视,rtp://226.0.2.67:8448
青海卫视,rtp://226.0.2.59:8384
甘肃卫视,rtp://226.0.2.55:8352
宁夏卫视,rtp://226.0.2.64:8424
陕西卫视,rtp://226.0.2.53:8336
西藏卫视,rtp://226.0.2.66:8440
四川卫视,rtp://226.0.2.179:9344
重庆卫视,rtp://226.0.2.174:9304
贵州卫视,rtp://226.0.2.180:9352
云南卫视,rtp://226.0.2.60:8392
海南卫视,rtp://226.0.2.212:9608
深圳卫视,rtp://226.0.2.147:9088
兵团卫视,rtp://226.0.2.62:8408
中国天气,rtp://226.0.2.103:8736
乐游,rtp://226.0.2.77:8528
车迷频道,rtp://226.0.2.138:9016
都市剧场,rtp://226.0.2.81:8560
重庆汽摩,rtp://226.0.2.95:8672
